stockName,industryName
CNT GROUP,石油石化
美瑞健康国际,医药生物
中金公司,非银金融
日本共生,社会服务
沛然环保,环保
激成投资,非银金融
满地科技股份,计算机
大生地产,房地产
大中华控股,房地产
HSSP INTL,商贸零售
中国天化工,基础化工
顺龙控股,房地产
爱康医疗,医药生物
新华联合投资,非银金融
金山软件,计算机
华富建业金融,非银金融
阿尔法企业,机械设备
TL NATURAL GAS,石油石化
汉国置业,房地产
网誉科技,计算机
周生生,纺织服饰
维亮控股,房地产
比亚迪股份,汽车
水发兴业能源,公用事业
国浩集团,房地产
稀美资源,有色金属
星凯控股,通信
高伟电子,电子
H&H国际控股,食品饮料
长城汽车,汽车
凌锐控股,电子
骏杰集团控股,商贸零售
东方大学城控股,社会服务
进智公共交通,交通运输
新疆新鑫矿业,有色金属
中国软件国际,计算机
龙湖集团,房地产
万科企业,房地产
弘业期货,非银金融
华润医药,医药生物
重庆银行,银行
原生态牧业,农林牧渔
浪潮数字企业,计算机
世纪金花,商贸零售
盈利时,商贸零售
元亨燃气,公用事业
CEC INT'L HOLD,电子
中国派对文化,传媒
中星集团控股,通信
艾硕控股,电子
安踏体育,纺织服饰
澳门励骏,社会服务
大新银行集团,银行
HTSC,非银金融
黎氏企业,汽车
广南(集团),农林牧渔
英皇钟表珠宝,轻工制造
建联集团,房地产
时代电气,机械设备
天安卓健,医药生物
开明投资,非银金融
AEON CREDIT,非银金融
香港兴业国际,房地产
帝国金融集团,非银金融
亿都(国际控股),汽车
绿地香港,房地产
岁宝百货,商贸零售
石四药集团,医药生物
宏强控股,通信
信利国际,电子
霭华押业信贷,非银金融
嘉士利集团,食品饮料
建发新胜,轻工制造
比优集团,汽车
中国国航,交通运输
中州证券,非银金融
上海医药,医药生物
丰盛生活服务,社会服务
德永佳集团,纺织服饰
未来数据集团,计算机
华大酒店,社会服务
胜利证券,非银金融
大象未来集团,计算机
兴达国际,非银金融
陈唱国际,传媒
京西国际,机械设备
中建富通,建筑材料
皇冠环球集团,商贸零售
现代牙科,医药生物
安徽皖通高速公路,交通运输
朗华国际集团,计算机
欣融国际,非银金融
腾邦控股,交通运输
数字王国,传媒
综合环保集团,环保
寰宇娱乐文化,传媒
龙光集团,房地产
百盛集团,商贸零售
中华银科技,通信
味千(中国),食品饮料
万景控股,房地产
胜狮货柜,交通运输
中升控股,汽车
精优药业,医药生物
渝太地产,房地产
悦达国际控股,汽车
思博系统,计算机
九龙仓集团,房地产
德昌电机控股,汽车
东方电气,电力设备
永丰集团控股,建筑材料
意力国际,非银金融
新利软件,计算机
中国建筑兴业,房地产
帝王国际投资,非银金融
飞鱼科技,电子
INTL GENIUS,计算机
杭品生活科技,家用电器
中国管业,建筑材料
北京燃气蓝天,公用事业
中联重科,机械设备
永胜医疗,医药生物
佳明集团控股,轻工制造
曼妠,美容护理
声扬集团,通信
中国民航信息网络,计算机
惠生工程,机械设备
京信通信,通信
拉夏贝尔,纺织服饰
元征科技,计算机
华能国际电力股份,公用事业
力鸿检验,环保
东岳集团,基础化工
光启科学,通信
康大食品,食品饮料
南大苏富特,电子
电子交易集团,通信
英记茶庄集团,食品饮料
威胜控股,机械设备
新华文轩,传媒
环球信贷集团,非银金融
雅高控股,家用电器
律齐文化,传媒
亿达中国,房地产
金慧科技,电子
中国智慧能源,公用事业
超人智能,计算机
宝新置地,房地产
天虹国际集团,纺织服饰
齐合环保,环保
中国大冶有色金属,有色金属
奥星生命科技,医药生物
中民控股,房地产
俊知集团,计算机
诺发集团,医药生物
SOHO中国,房地产
宝胜国际,商贸零售
国瑞健康,房地产
中海石油化学,石油石化
有利集团,轻工制造
道和环球,环保
卓尔智联,计算机
华众车载,汽车
城建设计,建筑装饰
善裕集团控股,汽车
航天控股,国防军工
中国诚通发展集团,交通运输
雨润食品,食品饮料
快意智能,计算机
天平道合,房地产
长江制衣,纺织服饰
青岛港,交通运输
迪米生活控股,美容护理
枫叶教育,社会服务
新华保险,非银金融
联合能源集团,石油石化
永恒策略,非银金融
郑州银行,银行
TAI PING CARPET,轻工制造
京基金融国际,非银金融
四川能投发展,公用事业
远大医药,医药生物
国美零售,商贸零售
粤运交通,交通运输
博雅互动,传媒
中铝国际,建筑装饰
勇利投资,非银金融
爱世纪集团,美容护理
白花油,美容护理
锦兴国际控股,商贸零售
天津津燃公用,公用事业
先施,商贸零售
海隆控股,交通运输
西藏水资源,食品饮料
MATRIX HOLDINGS,美容护理
中国数字视频,传媒
国家联合资源,石油石化
新时代能源,公用事业
景福集团,商贸零售
汇力资源,有色金属
渣打集团,银行
巨匠建设,房地产
天工国际,钢铁
亚洲能源物流,交通运输
吉星新能源,电力设备
中盈盛达融资担保,非银金融
新鸿基地产,房地产
赢家时尚,纺织服饰
天玺曜11,食品饮料
金奥国际,通信
马鞍山钢铁股份,钢铁
英皇娱乐酒店,社会服务
中国置业投资,房地产
恒泰裕集团,房地产
远见控股,非银金融
海峡石油化工,石油石化
知行集团控股,社会服务
浩柏国际,计算机
青建国际,建筑材料
酷派集团,电子
实德环球,环保
澳洲成峰高教,社会服务
欧科云链,计算机
浙江联合投资,非银金融
西证国际证券,非银金融
天彩控股,纺织服饰
东方企控集团,非银金融
东骏控股,房地产
星谦发展,房地产
金马能源,煤炭
中国智能科技,计算机
铁建装备,机械设备
中国海外宏洋集团,房地产
富阳,房地产
利骏集团香港,商贸零售
亚洲联合基建控股,建筑装饰
天福,食品饮料
昊海生物科技,医药生物
中木国际,建筑材料
壹照明,电子
升华兰德,电子
兴科蓉医药,医药生物
俊盟国际,轻工制造
星星集团,家用电器
瑞鑫国际集团,非银金融
洛阳钼业,有色金属
信义储电,电子
烯石电车新材料,汽车
亚洲富思,非银金融
川控股,石油石化
中国环保科技,环保
万事昌国际,非银金融
运兴泰集团,机械设备
香港小轮(集团),交通运输
中国新消费集团,商贸零售
中国华星,计算机
闽港控股,汽车
CHI HO DEV,房地产
统一企业中国,食品饮料
恒智控股,电子
彩生活,房地产
中兴通讯,通信
南方通信,通信
理文化工,基础化工
御佳控股,商贸零售
UTS MARKETING,计算机
中芯国际,电子
佳华百货控股,商贸零售
进业控股,传媒
亚博科技控股,电子
联想控股,计算机
中国旺旺,食品饮料
中国智能交通,交通运输
力劲科技,机械设备
星光集团,汽车
奥传思维控股,传媒
中国重汽,汽车
明发集团,房地产
世纪集团国际,公用事业
嘉耀控股,轻工制造
童园国际,纺织服饰
澳博控股,社会服务
恒达集团控股,汽车
中国生命集团,医药生物
莱蒙国际,房地产
中国油气控股,石油石化
云南水务,公用事业
中国有赞,计算机
天伦燃气,公用事业
融众金融,非银金融
畅捷通,计算机
布莱克万矿业,有色金属
友邦保险,非银金融
冠均国际控股,食品饮料
帝国科技集团,计算机
阿里健康,医药生物
民生银行,银行
中国宏桥,有色金属
有线宽频,传媒
金利来集团,纺织服饰
顺豪物业,房地产
能源及能量环球,环保
中国通信服务,通信
中国集成控股,电子
正商实业,房地产
连达科技控股,计算机
中国玻璃,建筑材料
云白国际,美容护理
同仁堂科技,医药生物
先健科技,医药生物
国银金租,非银金融
耀才证券金融,非银金融
普汇中金国际,非银金融
弘海高新资源,有色金属
建德国际控股,房地产
协合新能源,电力设备
中国新城镇,房地产
英皇文化产业,传媒
大成食品,食品饮料
财讯传媒,传媒
亿仕登控股,汽车
富智康集团,电子
WAI KEE HOLD,食品饮料
申港控股,交通运输
纷美包装,轻工制造
CWT INT'L,非银金融
恩典生命科技,医药生物
信和置业,房地产
全达电器集团控股,家用电器
佳兆业健康,社会服务
五矿地产,房地产
CLSA PREMIUM,非银金融
百宏实业,交通运输
中国艺术金融,传媒
高裕金融,非银金融
顺泰控股,非银金融
佐力小贷,非银金融
广泰国际控股,商贸零售
恒基发展,房地产
亿胜生物科技,医药生物
建业实业,建筑材料
中智药业,医药生物
游莱互动,传媒
延长石油国际,石油石化
宏辉集团,食品饮料
浙商银行,银行
山东国信,非银金融
天能动力,电力设备
大陆航空科技控股,国防军工
雅居乐集团,房地产
思城控股,房地产
皓文控股,计算机
信义光能,电力设备
COSMOPOL INT'L,房地产
呷哺呷哺,社会服务
中国神华,煤炭
山高控股,非银金融
太古地产,房地产
波司登,纺织服饰
传承教育集团,社会服务
大禹金融,非银金融
光大环境,环保
丰德丽控股,美容护理
WKK INTL (HOLD),建筑材料
中原银行,银行
特步国际,纺织服饰
中国环境资源,环保
北大青鸟环宇,计算机
隆成金融,非银金融
立高控股,家用电器
通天酒业,食品饮料
首程控股,非银金融
香港华人有限公司,商贸零售
香港科技探索,商贸零售
蜡笔小新食品,食品饮料
OKURA HOLDINGS,商贸零售
中国东方集团,钢铁
中国联通,通信
东亚银行,银行
易大宗,有色金属
卓悦控股,商贸零售
NANYANG HOLD,轻工制造
华营建筑,建筑装饰
阅文集团,传媒
新焦点,汽车
中国稀土,有色金属
金邦达宝嘉,轻工制造
修身堂,美容护理
天保能源,煤炭
交通银行,银行
华信地产财务,房地产
蓝河控股,环保
宏基集团控股,机械设备
K W NELSON GP,建筑装饰
国泰航空,交通运输
天时资源,有色金属
福田股份,汽车
现恒建筑,建筑装饰
迪诺斯环保,环保
仍志集团控股,汽车
首创钜大,房地产
悟喜生活,商贸零售
医思健康,美容护理
朗廷S,
海螺创业,环保
晶门半导体,电子
雄岸科技,计算机
VITASOY INT'L,食品饮料
药明生物,医药生物
玖源集团,基础化工
位元堂,医药生物
百利保控股,美容护理
新晨动力,汽车
国际精密,机械设备
鸿兴印刷集团,轻工制造
华润建材科技,建筑材料
李氏大药厂,医药生物
成实外教育,社会服务
天利控股集团,房地产
恩达集团控股,汽车
上海复旦,电子
卡森国际,房地产
凯顺控股,非银金融
江西铜业股份,有色金属
森浩集团,汽车
首惠产业金融,非银金融
紫金矿业,有色金属
山水水泥,建筑材料
聚利宝控股,非银金融
LET GROUP,社会服务
利亚零售,商贸零售
四威科技,计算机
联亚集团,轻工制造
骏东控股,汽车
锦艺集团控股,纺织服饰
新兴光学,电子
福寿园,社会服务
港通控股,交通运输
东瑞制药,医药生物
河北建设,建筑装饰
保集健康,医药生物
惠理集团,非银金融
宏利金融,非银金融
浦江中国,房地产
SHANGHAI GROWTH,房地产
德林国际,公用事业
新秀丽,轻工制造
华侨城(亚洲),房地产
新丝路文旅,社会服务
橙天嘉禾,传媒
新兴印刷,轻工制造
招商局港口,交通运输
安全货仓,交通运输
顺豪控股,非银金融
朗诗绿色管理,房地产
中国有色矿业,有色金属
艾伯科技,电子
普达特科技,电子
凯联国际酒店,社会服务
博骏教育,社会服务
中能控股,公用事业
金活医药集团,医药生物
建鹏控股,机械设备
九龙仓置业,房地产
富一国际控股,非银金融
世大控股,房地产
上海小南国,食品饮料
中石化油服,石油石化
北京北辰实业股份,房地产
重庆农村商业银行,银行
励时集团,计算机
大中华金融,非银金融
新宇环保,环保
雅仕维,传媒
中远海运港口,交通运输
双桦控股,机械设备
BOSSINI INT'L,纺织服饰
敏捷控股,汽车
胡桃资本,非银金融
英皇资本,非银金融
瑞安建业,房地产
粤港湾控股,交通运输
碧瑶绿色集团,环保
天韵国际控股,食品饮料
丘钛科技,电子
火山邑动国际控股,非银金融
嘉里物流,交通运输
冠中地产,房地产
利民实业,轻工制造
荣阳实业,轻工制造
京投交通科技,交通运输
环球实业科技,计算机
交银国际,非银金融
佐丹奴国际,纺织服饰
阿里影业,传媒
万邦投资,非银金融
万励达,电子
大唐潼金,有色金属
骏码半导体,电子
东胜智慧城市服务,社会服务
正利控股,非银金融
安东油田服务,石油石化
中广核电力,公用事业
大成生化科技,医药生物
联泰控股,非银金融
兴泸水务,公用事业
毅兴行,轻工制造
交大慧谷,计算机
百利达集团控股,汽车
荟萃国际(控股),商贸零售
华章科技,电子
中播数据,传媒
兖矿能源,煤炭
中国建材,建筑材料
扬科集团,纺织服饰
NIRAKU,社会服务
百勤油服,石油石化
中粮家佳康,食品饮料
巨涛海洋石油服务,石油石化
梧桐国际,房地产
YGM TRADING,商贸零售
金风科技,电力设备
英马斯集团,食品饮料
奥克斯国际,家用电器
信义玻璃,建筑材料
伟仕佳杰,计算机
丽丰控股,房地产
北大资源,有色金属
天津发展,商贸零售
骏高控股,房地产
飞尚无烟煤,煤炭
新奥能源,公用事业
天津银行,银行
中信建投证券,非银金融
信星集团,纺织服饰
润中国际控股,环保
中国电力,公用事业
白云山,医药生物
百本医护,医药生物
中国人寿,非银金融
中骏集团控股,房地产
理士国际,机械设备
高维科技,计算机
守益控股,非银金融
大众金融控股,非银金融
中华燃气,公用事业
中视金桥,传媒
香港宽频,通信
茂业国际,商贸零售
万科海外,房地产
维港育马,社会服务
泰达生物,医药生物
四洲集团,轻工制造
德祥地产,房地产
中国金融租赁,非银金融
碧生源,美容护理
信邦控股,机械设备
民银资本,非银金融
大洋集团,轻工制造
海天天线,通信
华禧控股,电子
华泰瑞银,非银金融
上海电气,电力设备
长实集团,房地产
中国淀粉,食品饮料
海通恒信,非银金融
木薯资源,农林牧渔
盛龙锦秀国际,房地产
国泰君安,非银金融
德莱建业,建筑装饰
奥思集团,通信
中国能源建设,建筑装饰
东建国际,建筑材料
盈大地产,房地产
中国来骑哦,石油石化
力丰(集团),轻工制造
洪桥集团,轻工制造
嘉利国际,食品饮料
信越控股,电子
港湾数字,计算机
中食民安,食品饮料
中远海能,交通运输
东阳光长江药业,医药生物
进升集团控股,商贸零售
国际资源,有色金属
中国天瑞水泥,建筑材料
青岛银行,银行
芯智控股,电子
千百度,纺织服饰
未来世界控股,社会服务
罗马元宇宙集团,计算机
美捷汇控股,美容护理
达力集团,房地产
经济日报集团,传媒
普甜食品,食品饮料
信达国际控股,非银金融
鞍钢股份,钢铁
超大现代,农林牧渔
京城机电股份,机械设备
邵氏兄弟控股,传媒
冠城钟表珠宝,纺织服饰
中天顺联,非银金融
天誉置业,房地产
凯盛新能,建筑材料
环球大通集团,交通运输
中国生物制药,医药生物
泰锦控股,轻工制造
泰升集团,建筑装饰
SDM教育,社会服务
洢人壹方控股,纺织服饰
高原之宝,食品饮料
加幂科技,电子
唐宫中国,食品饮料
辰兴发展,房地产
复旦张江,医药生物
DYNAM JAPAN,商贸零售
远东控股国际,非银金融
德泰新能源集团,电力设备
卡宾,纺织服饰
中加国信,机械设备
QPL INT'L,美容护理
和谐汽车,汽车
中煤能源,煤炭
盈健医疗,医药生物
FUTURE BRIGHT,房地产
电讯盈科,通信
怡康泰工程集团,机械设备
达利国际,食品饮料
HKE HOLDINGS,公用事业
普拉达,纺织服饰
中国再保险,非银金融
世纪城市国际,房地产
亲亲食品,食品饮料
金泰能源控股,石油石化
普星能量,电力设备
亚洲先锋娱乐,传媒
金阳新能源,纺织服饰
百仕达控股,商贸零售
承辉国际,轻工制造
万星控股,非银金融
华康生物医学,医药生物
重庆机电,机械设备
茂盛控股,轻工制造
远东酒店实业,社会服务
云游控股,传媒
现代健康科技,医药生物
361度,纺织服饰
讯智海,计算机
致丰工业电子,电子
中国信达,非银金融
银盛数惠,计算机
亚太资源,有色金属
中华汽车,汽车
大新金融,银行
龙资源,煤炭
中集集团,机械设备
STYLAND HOLD,机械设备
理文造纸,轻工制造
当代置业,房地产
深圳国际,交通运输
阳光能源,电力设备
万达酒店发展,社会服务
硅鑫集团,有色金属
中国铁钛,有色金属
中证国际,非银金融
高雅光学,电子
永旺,商贸零售
国联证券,非银金融
中国海外发展,房地产
众诚能源,公用事业
北京能源国际,公用事业
光大证券,非银金融
广汽集团,汽车
中国汽车内饰,汽车
阳光100中国,房地产
天德地产,房地产
长江基建集团,建筑装饰
中亚烯谷集团,基础化工
恒都集团,食品饮料
青岛控股,轻工制造
中国生态旅游,社会服务
永达汽车,汽车
PERFECTECH INTL,家用电器
上海先锋控股,计算机
欢喜传媒,传媒
南华金融,非银金融
TEAMWAY INTL GP,房地产
亨鑫科技,电子
赛晶科技,电子
宝光实业,轻工制造
中国铸晨81,非银金融
椰丰集团,食品饮料
华昱高速,交通运输
大丰港,电子
MI能源,石油石化
四川成渝高速公路,交通运输
金宝通,商贸零售
民商创科,计算机
汇隆控股,非银金融
中国秦发,纺织服饰
中国科创产业投资,非银金融
迪生创建,建筑装饰
克莉丝汀,美容护理
香港通讯国际控股,通信
紫元元,房地产
建业建荣,房地产
大唐发电,公用事业
浙江世宝,汽车
滇池水务,环保
宝积资本,非银金融
太平洋航运,交通运输
中国动向,纺织服饰
中远海控,交通运输
禹洲集团,房地产
广发证券,非银金融
合生创展集团,房地产
佳源国际控股,房地产
中国食品,食品饮料
旭日企业,轻工制造
路劲,房地产
顺腾国际控股,商贸零售
雅各臣科研制药,医药生物
嘉华国际,房地产
新都酒店,非银金融
华讯,通信
裕田中国,房地产
时腾科技,电子
企展控股,房地产
华润啤酒,食品饮料
超威动力,电力设备
威华达控股,社会服务
东方证券,非银金融
海纳星空科技,通信
中国金融投资管理,非银金融
亚太卫星,通信
北京健康,医药生物
国际商业结算,非银金融
嘉进投资国际,非银金融
胜龙国际,轻工制造
中国绿岛科技,环保
凤凰卫视,传媒
建滔集团,电子
嘉瑞国际,非银金融
应力控股,非银金融
新火科技控股,计算机
高山企业,农林牧渔
合景泰富集团,房地产
中国疏浚环保,环保
国联通信,通信
锦胜集团(控股),轻工制造
中国信息科技,计算机
方正控股,非银金融
向中国际,交通运输
信能低碳,石油石化
国际家居零售,商贸零售
正大企业国际,非银金融
中国外运,交通运输
栢能集团,石油石化
中裕能源,公用事业
莎莎国际,商贸零售
花样年控股,房地产
中国国家文化产业,传媒
怡园酒业,食品饮料
中国联塑,建筑材料
中核国际,国防军工
嬴集团,非银金融
MONGOL MINING,煤炭
金山能源,公用事业
圆通国际快递,交通运输
中船防务,国防军工
鸿伟亚洲,轻工制造
中国基础能源,公用事业
国恩控股,轻工制造
华联国际,商贸零售
德林控股,非银金融
舍图控股,房地产
西王特钢,钢铁
创维集团,家用电器
力图控股,计算机
隽泰控股,非银金融
博耳电力,电力设备
大明国际,有色金属
瑞慈医疗,医药生物
中国农产品交易,农林牧渔
天津港发展,交通运输
SINCEREWATCH HK,轻工制造
复星国际,综合
中国中冶,建筑装饰
伟能集团,电力设备
港亚控股,社会服务
高地股份,石油石化
晨鸣纸业,轻工制造
耀星科技集团,电子
玮俊生物科技,医药生物
BHCC HOLDING,建筑材料
碧桂园,房地产
湾区发展,交通运输
金沙中国有限公司,社会服务
晋景新能,公用事业
鹰君,社会服务
金蝶国际,计算机
美丽华酒店,社会服务
新创建集团,建筑装饰
越秀地产,房地产
达芙妮国际,纺织服饰
中国三江化工,基础化工
恒嘉融资租赁,非银金融
紫荆国际金融,非银金融
汉思能源,石油石化
信佳国际,汽车
十方控股,轻工制造
奥邦建筑,建筑材料
倍搏集团,电子
新疆火炬,公用事业
华融金控,非银金融
北京建设,建筑装饰
瀚华金控,非银金融
黛丽斯国际,纺织服饰
恒大汽车,汽车
庄士机构国际,商贸零售
农业银行,银行
佳兆业集团,房地产
陆庆娱乐,传媒
中国东方航空股份,交通运输
杉杉品牌,纺织服饰
万华媒体,传媒
吉辉控股,汽车
天洁环境,环保
龙磁科技,有色金属
中国海洋石油,石油石化
基地锦标集团,国防军工
联邦制药,医药生物
LHN,非银金融
敏华控股,轻工制造
威诚国际控股-新,轻工制造
中国高精密,机械设备
时时服务,社会服务
贝森金融,非银金融
奥威控股,电子
英达公路再生科技,环保
申洲国际,纺织服饰
中国再生医学,医药生物
工商银行,银行
新爱德集团,纺织服饰
世界华文媒体,传媒
东瀛游,交通运输
亚洲果业,农林牧渔
上实城市开发,房地产
飞达控股,纺织服饰
富盈环球集团,轻工制造
弘浩国际控股,电子
瑞声科技,电子
中国唐商,商贸零售
中国通号,机械设备
康健国际医疗,医药生物
金嗓子,食品饮料
昆仑能源,公用事业
国华,公用事业
明梁控股,房地产
恒鼎实业,建筑材料
盛源控股,有色金属
威铖国际,国防军工
利福中国,房地产
科联系统,计算机
WANG ON GROUP,家用电器
G.A.控股,汽车
丽新发展,房地产
金石投资集团,非银金融
一元宇宙,计算机
天元医疗,医药生物
天津创业环保股份,环保
安域亚洲,非银金融
兴发铝业,有色金属
东风集团股份,汽车
中国龙工,机械设备
鼎石资本,非银金融
庆铃汽车股份,汽车
自然美,美容护理
澳优,食品饮料
第一太平,食品饮料
世纪建业,建筑装饰
宝龙地产,房地产
侨雄国际,非银金融
大酒店,社会服务
颐海国际,食品饮料
裕承科金,非银金融
北青传媒,传媒
比亚迪电子,电子
中石化炼化工程,建筑装饰
米兰站,商贸零售
麦迪森控股,医药生物
ITE HOLDINGS,计算机
威高国际,医药生物
春立医疗,医药生物
CLASSIFIED GP,社会服务
汇鑫小贷,非银金融
大成糖业,食品饮料
香港信贷,非银金融
鼎益丰控股,非银金融
维太创科,计算机
中国龙天集团,汽车
景瑞控股,房地产
美亚娱乐资讯,传媒
S.A.S. DRAGON,汽车
耐世特,汽车
A8新媒体,传媒
星亚控股,非银金融
中奥到家,社会服务
香港食品投资,食品饮料
上海石油化工股份,石油石化
维珍妮,纺织服饰
东光化工,基础化工
江山控股,公用事业
盛力达科技,电子
震雄集团,机械设备
天德化工,基础化工
上海证大,房地产
未来发展控股,非银金融
裕元集团,纺织服饰
荣丰亿控股,轻工制造
先丰服务集团,社会服务
神话世界,社会服务
摩比发展,房地产
中国城市基础设施,建筑材料
越秀交通基建,交通运输
宏海控股集团,非银金融
安德利果汁,农林牧渔
天大药业,医药生物
华邦科技,电子
汇汉控股,机械设备
中国红包,商贸零售
21世纪教育,社会服务
五菱汽车,汽车
盛洋投资,非银金融
东方海外国际,交通运输
滉达富控股,国防军工
中国金石,有色金属
粤丰环保,公用事业
培力农本方,农林牧渔
映美控股,家用电器
华商能源,石油石化
创科实业,家用电器
沿海家园,房地产
第一拖拉机股份,机械设备
汇联金融服务,非银金融
F8企业,计算机
看通集团,通信
ASMPT,电子
PICO FAR EAST,纺织服饰
盛良物流,交通运输
中国港能,公用事业
新世界百货中国,商贸零售
中策资本控股,非银金融
力宝,房地产
金辉集团,建筑材料
北京首都机场股份,交通运输
WING ON CO,非银金融
星光文化(新),传媒
复兴亚洲,汽车
谭木匠,轻工制造
巨星医疗控股,医药生物
永泰地产,房地产
哈尔滨电气,电力设备
