stockName,industryName
PIMCO Income Strategy Fund,非银金融
PIMCO California Municipal Income Fund III,非银金融
PIMCO Municipal Income Fund,非银金融
Pimco Municipal Income Fund II,非银金融
Piper Sandler Companies,非银金融
Pinnacle食品,食品饮料
PIMCO Municipal Income Fund III,非银金融
品尼高西方资本,非银金融
PIMCO New York Municipal Income Fund,非银金融
Open Text Corporation,计算机
"OSI Systems, Inc.",电子
Optical Cable Corporation,电子
合宜银行,银行
"Alector, Inc.",医药生物
Chemomab Therapeutics Ltd. Sponsored ADR,医药生物
"Assembly Biosciences, Inc.",医药生物
"Flux Power Holdings, Inc.",电力设备
"CrossFirst Bankshares, Inc.",银行
快辑半导体,电子
"Vaccinex, Inc.",医药生物
诺华家具,轻工制造
Oportun Financial Corp.,非银金融
Advantage Solutions Inc Class A,商贸零售
Blue Owl Capital Corporation,非银金融
"First Seacoast Bancorp, Inc.",银行
"iHeartMedia, Inc. Class A",传媒
"iMedia Brands, Inc. Class A",传媒
"Pioneer Bancorp, Inc.",银行
STERIS plc,医药生物
蔚来,汽车
Partner Communications Co. Ltd. Sponsored ADR,通信
Nuveen AMT-Free Municipal Credit Income Fund,非银金融
"Castle Biosciences, Inc.",医药生物
"Richmond Mutual Bancorporation, Inc.",银行
"AssetMark Financial Holdings, Inc.",非银金融
DURECT Corporation,医药生物
Afya Limited Class A,医药生物
Maverix Metals Inc,有色金属
尚乘国际,非银金融
"Mirum Pharmaceuticals, Inc.",医药生物
"Fulcrum Therapeutics, Inc.",医药生物
"Phreesia, Inc.",计算机
"Medallia, Inc.",计算机
"Aspen Group, Inc.",社会服务
Inhibrx Inc,医药生物
"Skyward Specialty Insurance Group, Inc.",非银金融
"Morphic Holding, Inc.",医药生物
Adaptive Biotechnologies Corp.,医药生物
"Karuna Therapeutics, Inc.",医药生物
Genmab A/S Sponsored ADR,医药生物
凤凰新媒体,传媒
"TG Therapeutics, Inc.",医药生物
"Tetra Tech, Inc.",环保
德州仪器,电子
帕克俄亥俄控股,机械设备
"Pathfinder Bancorp, Inc.",银行
"Patrick Industries, Inc.",轻工制造
Paylocity Holding Corp.,计算机
博地能源,石油石化
PBF能源,石油石化
皮帕克格拉德斯通金融,非银金融
培生,传媒
佩恩国民博彩,社会服务
Peoples Financial Services Corp.,银行
"PennyMac Financial Services, Inc.",非银金融
Pebblebrook Hotel Trust,房地产
人民联合金融,非银金融
"Perficient, Inc.",计算机
PennyMac Mortgage Investment Trust,非银金融
PEDEVCO Corp.,石油石化
潘世奇汽车,汽车
PennantPark Floating Rate Capital Ltd.,非银金融
Performant Financial Corporation,非银金融
滨特尔,通信
Pegasystems Inc.,计算机
Peoples Bancorp Inc.,银行
Pembina Pipeline Corporation,石油石化
北加利福尼亚国民银行,银行
Perion Network Ltd,传媒
"Superior Group of Companies, Inc.",纺织服饰
"Supernus Pharmaceuticals, Inc.",医药生物
永明金融,非银金融
SunOpta Inc.,食品饮料
SunPower Corporation,电力设备
"SunCoke Energy, Inc.",煤炭
超微电脑,计算机
"Nuwellis, Inc.",医药生物
森科能源,煤炭
SuperCom Ltd.,通信
"Superior Drilling Products, Inc.",机械设备
"Superior Energy Services, Inc.",石油石化
硅谷银行,银行
Knight-Swift Transportation Holdings Inc. Class A,交通运输
Synaptics Incorporated,电子
"RE/MAX Holdings, Inc. Class A",房地产
Regal Rexnord Corporation,机械设备
Mexco Energy Corporation,石油石化
"MGP Ingredients, Inc.",食品饮料
Mexico Equity and Income Fund,非银金融
MFS Government Markets Income Trust,非银金融
"Mesa Laboratories, Inc.",医药生物
Mexico Fund,非银金融
"MFA Financial, Inc.",非银金融
"MGE Energy, Inc.",公用事业
美光科技,电子
"Comera Life Sciences Holdings, Inc.",医药生物
Brenmiller Energy Ltd,电力设备
"Avid Bioservices, Inc.",医药生物
"Agile Therapeutics, Inc.",医药生物
赛诺菲集团,医药生物
"Harpoon Therapeutics, Inc.",医药生物
"TCR2 Therapeutics, Inc.",医药生物
富途控股,非银金融
Stealth Biotherapeutics Corp Sponsored ADR,医药生物
未来金融科技,计算机
戴尔科技-C,计算机
"Gossamer Bio, Inc.",医药生物
Takeda Pharmaceutical Co. Ltd. Sponsored ADR,医药生物
MDU资源集团,煤炭
美佳工程,建筑装饰
美信集成产品,电子
美森特,家用电器
味好美,食品饮料
美赞臣,食品饮料
"Matson, Inc.",交通运输
"MAXIMUS, Inc.",社会服务
"Savara, Inc.",医药生物
美泰,轻工制造
Energem Corp. Class A,电力设备
"Allvue Systems Holdings, Inc. Class A",计算机
On Holding AG Class A,纺织服饰
Axonprime Infrastructure Acquisition Corp. Class A,非银金融
Millstreet Capital Acquisition Corp. Class A,非银金融
SEP Acquisition Corp Class A,非银金融
Enphys Acquisition Corp. Class A,非银金融
Thrive Acquisition Corp. Class A,非银金融
SPARK Education Ltd. ADR,传媒
奥凯发,电子
Sportradar Group AG Class A,传媒
Daojia Ltd. ADR,社会服务
Athena Consumer Acquisition Corp. Class A,商贸零售
iCIMS Holding Corp.,计算机
Arbe Robotics Ltd.,国防军工
World Quantum Growth Acquisition Corp. Class A,非银金融
MELI Kaszek Pioneer Corp. Class A,非银金融
"Toast, Inc. Class A",计算机
Nuvei Corp.,非银金融
"NerdWallet, Inc. Class A",非银金融
UNSDG Acquisition Corp. Class A,非银金融
"Ginkgo Bioworks Holdings, Inc. Class A",医药生物
"MiNK Therapeutics, Inc.",医药生物
New Found Gold Corp,有色金属
可口可乐欧洲太平洋合伙,食品饮料
"Sovos Brands, Inc.",食品饮料
Mirati Therapeutics Inc.,医药生物
米勒汽配,汽车
"MKS Instruments, Inc.",电子
米德尔赛克斯水务,公用事业
美国像素,电子
Platinum Group Metals Ltd.,有色金属
PIMCO New York Municipal Income Fund III,非银金融
Pioneer High Income Trust,非银金融
PIMCO Strategic Income Fund,非银金融
Plexus Corp.,电子
平潭海洋实业,农林牧渔
Pioneer Municipal High Income Advantage Trust,非银金融
普拉格能源,石油石化
Pioneer Municipal High Income Trust,非银金融
PNC金融服务,银行
Pinnacle金融,银行
先锋自然资源,农林牧渔
Plumas Bancorp,银行
"PNM Resources, Inc.",公用事业
"Pioneer Power Solutions, Inc.",电力设备
普益财富,非银金融
"Nexstar Media Group, Inc.",传媒
NewMarket Corporation,基础化工
"W&T Offshore, Inc.",石油石化
华盛顿联邦储蓄,银行
W. P. Carey Inc.,房地产
Washington Prime Group Inc.,房地产
"Walker & Dunlop, Inc.",非银金融
Elme Communities,房地产
沃那多房产信托,房地产
沃尔玛,商贸零售
United Security Bancshares,银行
雷神技术,国防军工
"UDR, Inc.",房地产
United States Antimony Corporation,有色金属
联合治疗,医药生物
Universal Electronics Inc.,电子
"ProPhase Labs, Inc.",医药生物
"PROS Holdings, Inc.",计算机
"Protalix Biotherapeutics, Inc.",医药生物
"Provident Financial Holdings, Inc.",银行
Onconova Therapeutics Inc.,医药生物
"ONE Gas, Inc.",公用事业
"One Liberty Properties, Inc.",房地产
Acer Therapeutics Inc.,医药生物
TG Venture Acquisition Corp. Class A,非银金融
Digital World Acquisition Corp. Class A,非银金融
Innovative International Acquisition Corp. Class A,非银金融
PHP Ventures Acquisition Corp. Class A,非银金融
Integrated Rail & Resources Acquisition Corp. Class A,非银金融
中国环保新材,环保
Nova Vision Acquisition Corp. Class A,非银金融
"Healthcare Triangle, Inc.",医药生物
Auna SAA ADR,医药生物
Waverley Capital Acquisition Corp. 1 Class A,非银金融
Renewable Energy Acquisition Corp. Class A,非银金融
"Guardforce AI Co., Ltd.",计算机
Definitive Healthcare Corp. Class A,医药生物
Bioplus Acquisition Corp. Class A,非银金融
"Society Pass, Inc.",商贸零售
AERWINS Technology Inc.Class A,通信
Iconic Sports Acquisition Corp. Class A,非银金融
Integral Acquisition Corp. 1 Class A,非银金融
Sigma Lithium Corporation,有色金属
"XORTX Therapeutics, Inc.",医药生物
IHS Holding Ltd.,通信
IsoPlexis Corp.,医药生物
"Arog Pharmaceuticals, Inc.",医药生物
"Paragon 28, Inc.",医药生物
"TDCX, Inc. ADR",社会服务
Jade Value Acquisition Corp. Class A,非银金融
Zalatoris II Acquisition Corp,非银金融
"Authentic Brands Group, Inc. Class A",商贸零售
Kensington Capital Acquisition Corp. V Class A,非银金融
"Semler Scientific, Inc.",医药生物
AEI Capforce II Investment Corp.,非银金融
Points.com Inc.,通信
浦项钢铁,钢铁
Post控股,商贸零售
北极星,公用事业
Power REIT,房地产
"Powell Industries, Inc.",电力设备
帕沃英蒂格盛,电力设备
Precision Drilling Corporation,机械设备
PPG工业,基础化工
"Preferred Apartment Communities, Inc.",房地产
普雷斯蒂奇,美容护理
Swiss Helvetia Fund,非银金融
"Synchronoss Technologies, Inc.",计算机
新聚思,计算机
Syndax Pharmaceuticals Inc,医药生物
Nuveen Pennsylvania Quality Municipal Income Fund,非银金融
Nuveen Municipal High Income Opportunity Fund,非银金融
Nuveen New York AMT-Free Quality Municipal Income Fund,非银金融
Nuveen Preferred and Income Term Fund,非银金融
Nuveen Real Asset Income and Growth Fund,非银金融
NVE Corporation,电子
Nuveen Real Estate Income Fund,房地产
英伟达,电子
Nuveen Select Maturities Municipal Fund,非银金融
西方石油,石油石化
"NVR, Inc.",房地产
Nuveen Select Tax Free Income Portfolio,非银金融
恩智浦,电子
Nuveen Virginia Quality Municipal Income Fund,非银金融
"Ocean Bio-Chem, Inc.",医药生物
UNUM保险,非银金融
农米良品,农林牧渔
"Americold Realty Trust, Inc.",房地产
"Sigma Additive Solutions, Inc.",机械设备
"Clipper Realty, Inc.",房地产
Sachem Capital Corp.,非银金融
"Bioverativ, Inc.",医药生物
"Ramaco Resources, Inc. Class A",煤炭
"Invitation Homes, Inc.",房地产
恩德拉生命科学,医药生物
"JELD-WEN Holding, Inc.",建筑材料
"AnaptysBio, Inc.",医药生物
"Jounce Therapeutics, Inc.",医药生物
Liberty Media Corp. Series C Liberty Formula One,传媒
Liberty Media Corp. Series A Liberty Formula One,传媒
ObsEva SA,医药生物
DCP Midstream LP,石油石化
"Leap Therapeutics, Inc.",医药生物
"NexTier Oilfield Solutions, Inc.",石油石化
Americas Gold and Silver Corp.,有色金属
AquaBounty Technologies Inc,农林牧渔
Verra Mobility Corp. Class A,通信
"HV Bancorp, Inc.",银行
"Tivity Health, Inc.",医药生物
"Sierra Oncology, Inc.",医药生物
"Yield10 Bioscience, Inc.",农林牧渔
"Camber Energy, Inc.",石油石化
"Hilton Grand Vacations, Inc.",社会服务
"Park Hotels & Resorts, Inc.",房地产
"Smith & Wesson Brands, Inc.",国防军工
Avadel Pharmaceuticals Plc Sponsored ADR,医药生物
LCI Industries,家用电器
"Apollo Endosurgery, Inc.",医药生物
甲骨文,计算机
"Orchid Island Capital, Inc.",房地产
"IVERIC bio, Inc.",医药生物
"Oragenics, Inc.",医药生物
欧力士,机械设备
OPKO保健,医药生物
奥玛特科技,电子
Oramed Pharmaceuticals Inc.,医药生物
Zurn Elkay Water Solutions Corporation,公用事业
雷诺美国,汽车
"RCI Hospitality Holdings, Inc.",社会服务
"Revance Therapeutics, Inc.",医药生物
"RF Industries, Ltd.",电子
里格尔制药,医药生物
Seven Hills Realty Trust,房地产
Madison Square Garden Entertainment Corp.,传媒
"Clearwater Analytics Holdings, Inc. Class A",计算机
"Freshworks, Inc. Class A",计算机
InvenTrust Properties Corp,房地产
"FreeCast, Inc.",传媒
Tecnoglass Inc.,建筑材料
Arbor Rapha Capital Bioholdings Corp. I Class A,医药生物
"HeartBeam, Inc.",医药生物
Sarcos Technology and Robotics Corporation,机械设备
"Old Dominion Freight Line, Inc.",交通运输
OFG Bancorp,银行
摩丁制造,机械设备
三菱日联金融集团,银行
"Willdan Group, Inc.",社会服务
威玛克工贸,商贸零售
WhiteWave Foods Company,食品饮料
Amerco Series N Non-Voting,非银金融
温尼巴格实业,汽车
威廉姆斯,石油石化
F&G Annuities & Life Inc,非银金融
威廉姆斯-索诺玛,商贸零售
全食食品超市,商贸零售
威利斯融资租赁,非银金融
信达金融,非银金融
WidePoint Corporation,通信
Wipro Limited Sponsored ADR,计算机
"Wireless Telecom Group, Inc.",通信
Wix.com Ltd.,计算机
沃思控股,电子
"TKO Group Holdings, Inc.",商贸零售
沃尔弗林集团,机械设备
沃辛顿工业,机械设备
"Woodward, Inc.",电力设备
Drive Shack Inc.,社会服务
AGBA Group Holding Limited,非银金融
Celularity Inc. Class A,医药生物
InMode Ltd.,医药生物
Borr Drilling Limited,石油石化
Intercorp Financial Services Inc.,非银金融
"Dynatrace, Inc.",计算机
"RAPT Therapeutics, Inc.",医药生物
Vista Energy SAB de CV Sponsored ADR Class A,石油石化
"Kura Sushi USA, Inc. Class A",食品饮料
"CNS Pharmaceuticals, Inc.",医药生物
黑石集团,非银金融
"Livongo Health, Inc.",医药生物
"Health Catalyst, Inc.",医药生物
Sunnova Energy International Inc,公用事业
Microbot Medical Inc,医药生物
"KalVista Pharmaceuticals, Inc.",医药生物
"Genius Brands International, Inc.",传媒
"FlexShopper, Inc.",商贸零售
"Limbach Holdings, Inc.",建筑装饰
Atomera Incorporated,电子
Inseego Corp.,通信
"SenesTech, Inc.",医药生物
CervoMed Inc.,医药生物
"Hostess Brands, Inc. Class A",食品饮料
"Albireo Pharma, Inc.",医药生物
Great Elm Capital Corp,非银金融
"Xenetic Biosciences, Inc.",医药生物
"Smart Sand, Inc.",煤炭
Howmet Aerospace Inc.,机械设备
"Quality Care Properties, Inc.",房地产
百胜中国,食品饮料
Prothena Corp. Plc,医药生物
"Proto Labs, Inc.",机械设备
Prudential Global Short Duration High Yield Fund,非银金融
"Prosperity Bancshares, Inc.(R)",银行
"Axonics, Inc.",医药生物
Orchard Therapeutics Plc Sponsored ADR,医药生物
"Grid Dynamics Holdings, Inc. Class A",计算机
OFS Credit Company,非银金融
Twist Bioscience Corp.,医药生物
StoneCo Ltd. Class A,商贸零售
CollPlant Biotechnologies Ltd,医药生物
"Virobay, Inc.",医药生物
Selina Hospitality PLC,社会服务
Cedarlake Acquisition Corp.,非银金融
拍明芯城,电子
Deep Medicine Acquisition Corp. Class A,医药生物
Argo Blockchain PLC ADR,通信
"Warby Parker, Inc. Class A",商贸零售
"BTCS, Inc.",通信
"Portillo's, Inc. Class A",食品饮料
BlackSky Technology Inc Class A,国防军工
"First Watch Restaurant Group, Inc.",食品饮料
"Vita Coco Company, Inc.",食品饮料
Blue Whale Acquisition Corp. I Class A,非银金融
a.k.a. Brands Holding Corp.,纺织服饰
LumiraDx Limited,医药生物
"IonQ, Inc.",计算机
Blockchain Coinvestors Acquisition Corp. I Class A,非银金融
SatixFy Communications Ltd.,通信
VersaBank,银行
"Benson Hill, Inc.",农林牧渔
TCF Financial Corporation,银行
"Granite Ridge Resources, Inc.",石油石化
"AvidXchange Holdings, Inc.",计算机
CION Investment Corp.,非银金融
"Gitlab, Inc. Class A",计算机
WinVest Acquisition Corp.,非银金融
FGI Industries Ltd.,家用电器
"Shapeways Holdings, Inc.",计算机
"BullFrog AI Holdings, Inc.",医药生物
Caravelle International Group,商贸零售
安科投资,非银金融
"AYRO, Inc.",汽车
药明康德,医药生物
XPO物流,交通运输
WVS Financial Corp.,银行
WPP Plc Sponsored ADR,传媒
Travel + Leisure Co.,交通运输
"Workday, Inc. Class A",计算机
"Vislink Technologies, Inc.",通信
XTL Biopharmaceuticals Ltd. Sponsored ADR,医药生物
永利度假,社会服务
World Acceptance Corporation,非银金融
赛灵思,电子
学大教育,社会服务
鑫苑置业,房地产
迅雷,通信
World Kinect Corporation,公用事业
"Xencor, Inc.",医药生物
赛莱默,电子
WSFS Financial Corporation,非银金融
标记临床研究,医药生物
保富银行,银行
PPL能源,电力设备
"Beyond Meat, Inc.",食品饮料
Silvergate Capital Corp. Class A,非银金融
"Creative Realities, Inc.",计算机
泰瑞达,计算机
"Bain Capital Specialty Finance, Inc.",非银金融
Legacy Housing Corporation,房地产
"Moderna, Inc.",医药生物
DiaMedica Therapeutics Inc.,医药生物
蘑菇街,商贸零售
New Fortress Energy Inc. Class A,石油石化
"Alpha Metallurgical Resources, Inc.",煤炭
Pulmatrix Inc,医药生物
悦航阳光,交通运输
Avalon GloboCare Corp.,医药生物
"Alithya Group, Inc. Class A",计算机
"Guardion Health Sciences, Inc.",医药生物
"Tempest Therapeutics, Inc.",医药生物
Linde plc,基础化工
Equitrans Midstream Corporation,石油石化
"AMN Healthcare Services, Inc.",社会服务
海天网络,传媒
艾伯顿收购,非银金融
"Roku, Inc. Class A",传媒
Venus Concept Inc,美容护理
"Deciphera Pharmaceuticals, Inc.",医药生物
"DuPont de Nemours, Inc.",基础化工
Micro Focus International plc Sponsored ADR,计算机
Sol-Gel Technologies Ltd.,医药生物
"Gravitas Education Holdings, Inc. Sponsored ADR Class A",社会服务
安博教育,社会服务
"Opiant Pharmaceuticals, Inc.",医药生物
寺库,商贸零售
Celcuity Inc.,医药生物
"Krystal Biotech, Inc.",医药生物
"Mustang Bio, Inc.",医药生物
"Accel Entertainment, Inc. Class A",传媒
再鼎医药,医药生物
"Chicken Soup for the Soul Entertainment, Inc. Class A",传媒
Kirkland Lake Gold Ltd.,有色金属
"Despegar.com, Corp.",交通运输
天地荟,商贸零售
"DermTech, Inc.",医药生物
American Virtual Cloud Technologies Inc,计算机
Pulmonx Corp.,医药生物
瑞图生态,环保
Eastside Distilling Inc,食品饮料
"HF Foods Group, Inc.",食品饮料
Citius Pharmaceuticals Inc,医药生物
"Zillow Group, Inc. Class C",房地产
综合媒体科技,传媒
普林斯顿银行,银行
"Tyme Technologies, Inc.",医药生物
Caledonia Mining Corporation PLC,有色金属
"Genprex, Inc.",医药生物
"BIO-key International, Inc.",计算机
"Concrete Pumping Holdings, Inc. Class A",机械设备
Sitio Royalties Corp. Class A,房地产
JBG SMITH Properties,房地产
Lithium Americas Corp,有色金属
"Nemaura Medical, Inc.",医药生物
Avaya Holdings Corp.,通信
华米科技,计算机
"Cardlytics, Inc.",商贸零售
"Cactus, Inc. Class A",机械设备
"Victory Capital Holdings, Inc. Class A",非银金融
"Rekor Systems, Inc. Class B",计算机
快而精医药,医药生物
"Evolus, Inc.",医药生物
"Motus GI Holdings, Inc.",医药生物
Central Puerto S.A. Sponsored ADR,公用事业
"Liberty Energy, Inc. Class A",石油石化
Nutrien Ltd.,农林牧渔
Liberty Latin America Ltd. Class C,通信
Riverview Financial Corp.,银行
"Eton Pharmaceuticals, Inc.",医药生物
"PaySign, Inc. Class B",非银金融
Amalgamated Financial Corp,银行
Rattler Midstream LP,石油石化
"Elanco Animal Health, Inc.",医药生物
积云媒体,传媒
Alarum Technologies Ltd.,计算机
"Necessity Retail REIT, Inc. Class A",房地产
PCB Bancorp,银行
"Aridis Pharmaceuticals, Inc.",医药生物
品钛,计算机
Repay Holdings Corp. Class A,非银金融
Mesa Air Group Inc,交通运输
Brooge Energy Ltd.,石油石化
泛华金融,非银金融
"Mid-Southern Bancorp, Inc.",银行
Cyngn Inc.,计算机
瑞德,医药生物
"Vicarious Surgical, Inc. Class A",医药生物
Belong Acquisition Corp. Class A,非银金融
COPT Defense Properties,国防军工
Metals Acquisition Limited,有色金属
达闼科技,计算机
Sancai Holding Group Ltd.,轻工制造
Intelligent Living Application Group Incorporation,家用电器
Keter Group SA,轻工制造
"Intrinsic Medicine, Inc.",医药生物
Andretti Acquisition Corp. Class A,非银金融
Portage Fintech Acquisition Corp. Class A,非银金融
Kimbell Tiger Acquisition Corp. Class A,非银金融
"Pyxis Oncology, Inc.",医药生物
Hanover Bancorp Inc,银行
10x Capital Venture Acquisition Corp. II Class A,非银金融
Golden Ventures Acquisition Corp.,非银金融
Lilium N.V. Class A,国防军工
Valens Semiconductor Ltd.,电子
"Olaplex Holdings, Inc.",美容护理
Lucid Diagnostics Inc.,医药生物
"Dutch Bros, Inc. Class A",食品饮料
Alpha Star Acquisition Corp.,非银金融
"Fresh Market, Inc.",商贸零售
"Brilliant Earth Group, Inc. Class A",商贸零售
Bone Biologics Corp.,医药生物
Foresight Acquisition Corp. II,非银金融
Seaport Calibre Materials Acquisition Corp. Class A,建筑材料
"Aspire Global, Inc.",通信
TMC the metals company Inc.,有色金属
Phoenix Biotech Acquisition Corp. Class A,医药生物
Banyan Acquisition Corp. Class A,非银金融
奇富科技,电子
"vTv Therapeutics, Inc. Class A",医药生物
Regency Centers Corporation,房地产
Clarivate PLC,计算机
"PeerStream, Inc.",传媒
RiverNorth Opportunistic Municipal Income Fund,非银金融
Bank First Corp,银行
海川证券,非银金融
团车,汽车
Centrexion Therapeutics Corp.,医药生物
"Vapotherm, Inc.",医药生物
"Qualtrics International, Inc. Class A",计算机
"Reviva Pharmaceuticals Holdings, Inc.",医药生物
Eagle Point Income Company,非银金融
"Arcosa, Inc.",机械设备
超威半导体,电子
"Resideo Technologies, Inc.",计算机
宏盟集团,建筑材料
"Omega Healthcare Investors, Inc.",社会服务
OFS Capital Corp.,非银金融
"Personalis, Inc.",医药生物
科迪华农业科技,农林牧渔
Biophytis SA ADR,医药生物
G Medical Innovations Holdings Ltd,医药生物
OrganiGram Holdings Inc,医药生物
Fiverr International Ltd.,社会服务
EQONEX LIMITED,非银金融
"CrowdStrike Holdings, Inc. Class A",计算机
Grocery Outlet Holding Corp.,商贸零售
Whole Earth Brands Inc Class A,食品饮料
Shift Technologies Inc Class A,汽车
小i机器人,计算机
Aterian Inc,家用电器
嘉银金科,非银金融
Signature Bank,银行
"Shore Bancshares, Inc.",银行
"SIFCO Industries, Inc.",机械设备
西格内特珠宝,美容护理
Sharps Compliance Corp.,环保
Sify Technologies Limited Sponsored ADR,通信
肖氏通信,通信
"Shutterfly, Inc.",传媒
矽晶电信,通信
谢南多厄电讯,通信
"Shutterstock, Inc.",传媒
宣伟,医药生物
SSR Mining Inc,有色金属
芯科实验室,电子
喜玛庆国际,食品饮料
Wheaton Precious Metals Corp,有色金属
慧荣科技,电子
Silvercrest Asset Management Group Inc. Class A,非银金融
奇点未来,计算机
西蒙斯第一国民银行,银行
"EyePoint Pharmaceuticals, Inc.",医药生物
"Quince Therapeutics, Inc.",医药生物
"Milestone Pharmaceuticals, Inc.",医药生物
"Mayville Engineering Company, Inc.",机械设备
